rodada,data,time_mandante,time_visitante,points_mand_last_5,points_visit_last_5,colocacao_mandante_antes,colocacao_visitante_antes,publico_real
5,04/05/2024,Fluminense,Atlético-MG,4,8,16,2,14202
5,04/05/2024,RB Bragantino,Flamengo,8,7,3,8,9858
5,04/05/2024,Cruzeiro,Internacional,7,7,7,6,
5,04/05/2024,Corinthians,Fortaleza,4,5,15,11,42456
5,05/05/2024,Grêmio,Criciúma EC,6,5,9,10,
5,05/05/2024,EC Vitória,São Paulo,1,4,18,14,25540
5,05/05/2024,Athletico-PR,Vasco da Gama,7,3,4,17,30270
5,05/05/2024,Botafogo,EC Bahia,9,7,1,5,19655
5,05/05/2024,Cuiabá-MT,Palmeiras,0,5,20,12,8600
5,06/05/2024,Juventude,Atlético-GO,5,1,13,19,